timestamp_ms,timestamp_iso,sensor_id,value
1773604342639,2026-03-15T19:52:22.639Z,L01,0
1773604342639,2026-03-15T19:52:22.639Z,L02,0
1773604342639,2026-03-15T19:52:22.639Z,L03,0
1773604342639,2026-03-15T19:52:22.639Z,L04,0
1773604342639,2026-03-15T19:52:22.639Z,L05,0
1773604342639,2026-03-15T19:52:22.639Z,L06,0
1773604342639,2026-03-15T19:52:22.639Z,L07,75
1773604342639,2026-03-15T19:52:22.639Z,L08,142
1773604342639,2026-03-15T19:52:22.639Z,L09,0
1773604342639,2026-03-15T19:52:22.639Z,L10,0
1773604342639,2026-03-15T19:52:22.639Z,L11,0
1773604342639,2026-03-15T19:52:22.639Z,L12,261
1773604342639,2026-03-15T19:52:22.639Z,L13,453
1773604342639,2026-03-15T19:52:22.639Z,L14,0
1773604342639,2026-03-15T19:52:22.639Z,L15,0
1773604342639,2026-03-15T19:52:22.639Z,L16,0
1773604342639,2026-03-15T19:52:22.639Z,R01,0
1773604342639,2026-03-15T19:52:22.639Z,R02,0
1773604342639,2026-03-15T19:52:22.639Z,R03,0
1773604342639,2026-03-15T19:52:22.639Z,R04,0
1773604342639,2026-03-15T19:52:22.639Z,R05,0
1773604342639,2026-03-15T19:52:22.639Z,R06,0
1773604342639,2026-03-15T19:52:22.639Z,R07,105
1773604342639,2026-03-15T19:52:22.639Z,R08,54
1773604342639,2026-03-15T19:52:22.639Z,R09,0
1773604342639,2026-03-15T19:52:22.639Z,R10,0
1773604342639,2026-03-15T19:52:22.639Z,R11,0
1773604342639,2026-03-15T19:52:22.639Z,R12,166
1773604342639,2026-03-15T19:52:22.639Z,R13,212
1773604342639,2026-03-15T19:52:22.639Z,R14,0
1773604342639,2026-03-15T19:52:22.639Z,R15,0
1773604342639,2026-03-15T19:52:22.639Z,R16,0
1773604342770,2026-03-15T19:52:22.770Z,L01,0
1773604342770,2026-03-15T19:52:22.770Z,L02,0
1773604342770,2026-03-15T19:52:22.770Z,L03,0
1773604342770,2026-03-15T19:52:22.770Z,L04,0
1773604342770,2026-03-15T19:52:22.770Z,L05,0
1773604342770,2026-03-15T19:52:22.770Z,L06,0
1773604342770,2026-03-15T19:52:22.770Z,L07,459
1773604342770,2026-03-15T19:52:22.770Z,L08,152
1773604342770,2026-03-15T19:52:22.770Z,L09,0
1773604342770,2026-03-15T19:52:22.770Z,L10,0
1773604342770,2026-03-15T19:52:22.770Z,L11,0
1773604342770,2026-03-15T19:52:22.770Z,L12,0
1773604342770,2026-03-15T19:52:22.770Z,L13,249
1773604342770,2026-03-15T19:52:22.770Z,L14,0
1773604342770,2026-03-15T19:52:22.770Z,L15,0
1773604342770,2026-03-15T19:52:22.770Z,L16,0
1773604342770,2026-03-15T19:52:22.770Z,R01,0
1773604342770,2026-03-15T19:52:22.770Z,R02,0
1773604342770,2026-03-15T19:52:22.770Z,R03,0
1773604342770,2026-03-15T19:52:22.770Z,R04,0
1773604342770,2026-03-15T19:52:22.770Z,R05,0
1773604342770,2026-03-15T19:52:22.770Z,R06,0
1773604342770,2026-03-15T19:52:22.770Z,R07,156
1773604342770,2026-03-15T19:52:22.770Z,R08,357
1773604342770,2026-03-15T19:52:22.770Z,R09,0
1773604342770,2026-03-15T19:52:22.770Z,R10,0
1773604342770,2026-03-15T19:52:22.770Z,R11,0
1773604342770,2026-03-15T19:52:22.770Z,R12,268
1773604342770,2026-03-15T19:52:22.770Z,R13,64
