start_time,end_time,total_time,foot
1296674,1297964,1290,Left
1297994,1298084,90,Right
1298114,1298494,380,Left
1298524,1298654,130,Right
1298684,1299054,370,Left
1299084,1299224,140,Right
1299254,1299614,360,Left
1299644,1299774,130,Right
1299804,1300124,320,Left
1300154,1300314,160,Right
1300345,1300514,169,Left
1300544,1301474,930,Right
1301504,1301594,90,Left
1301624,1303084,1460,Right
1303114,1303274,160,Left
1303304,1303634,330,Right
1303664,1303734,70,Left
1303764,1305304,1540,Right
1305334,1305354,20,Left
1305384,1306324,940,Right
1306354,1306534,180,Left
1306564,1306874,310,Right
1306904,1307034,130,Left
1307064,1307434,370,Right
1307464,1307684,220,Left
1307714,1308014,300,Right
1308044,1308234,190,Left
1308264,1308584,320,Right
1308614,1308874,260,Left
1308904,1309134,230,Right
1309164,1309474,310,Left
1309504,1309704,200,Right
1309734,1310034,300,Left
1310064,1310284,220,Right
1310314,1310624,310,Left
1310654,1310864,210,Right
1310894,1311194,300,Left
1311224,1311444,220,Right
1311474,1311744,270,Left
1311774,1312024,250,Right
1312054,1312344,290,Left
1312374,1312664,290,Right
1312694,1312884,190,Left
1312914,1313214,300,Right
1313244,1313604,360,Left
1313634,1315774,2140,Right
