Time,Force_Foot1,Force_Foot2
4966534,0,0
4966544,0,0
4966554,3952,0
4966564,3421,0
4966574,3729,0
4966584,3794,0
4966594,3899,0
4966604,3942,0
4966614,3882,0
4966624,3895,0
4966634,3813,0
4966644,3628,0
4966654,3287,0
4966664,2544,0
4966674,0,0
4966684,0,0
4966694,0,0
4966704,0,3964
4966714,0,3414
4966724,0,3723
4966734,0,3790
4966744,0,3893
4966754,0,3932
4966764,0,3871
4966774,0,3901
4966784,0,3814
4966794,0,3635
4966804,0,3275
4966814,0,2549
4966824,0,0
4966834,0,0
4966844,0,0
4966854,0,0
4966864,0,0
4966874,0,0
4966884,3778,0
4966894,3533,0
4966904,3809,0
4966914,3895,0
4966924,3907,0
4966934,3949,0
4966944,3926,0
4966954,3925,0
4966964,3807,0
4966974,3652,0
4966984,3174,0
4966994,1627,0
4967004,0,0
4967014,0,0
4967024,0,0
4967034,0,3778
4967044,0,3531
4967054,0,3817
4967064,0,3894
4967074,0,3910
4967084,0,3950
4967094,0,3922
4967104,0,3932
4967114,0,3818
4967124,0,3663
4967134,0,3178
4967144,0,1619
4967154,0,0
4967164,0,0
4967174,0,0
4967184,0,0
4967194,0,0
4967204,0,0
4967214,0,0
4967224,0,0
4967234,0,0
4967244,0,0
4967254,0,0
4967264,0,0
4967274,0,0
4967284,0,0
4967294,0,0
4967304,0,0
4967314,0,0
4967324,0,0
4967334,0,0
4967344,0,0
4967354,0,0
4967364,0,0
4967374,0,0
4967384,0,0
4967394,0,0
4967404,0,0
4967414,0,0
4967424,0,0
4967434,0,0
4967444,0,0
4967454,0,0
4967464,0,0
4967474,0,0
4967484,0,0
4967494,0,0
4967504,0,0
4967514,0,0
4967524,0,0
4967534,0,0
4967544,0,0
4967554,0,0
4967564,0,0
4967574,0,0
4967584,0,0
4967594,0,0
4967604,0,0
4967614,0,0
4967624,0,0
4967634,0,0
4967644,0,0
4967654,0,0
4967664,0,0
4967674,0,0
4967684,0,0
4967694,0,0
4967704,0,0
4967714,0,0
4967724,0,0
4967734,0,0
4967744,0,0
4967754,0,0
4967764,0,0
4967774,0,0
4967784,0,0
4967794,0,0
4967804,0,0
4967814,0,0
4967824,0,0
4967834,0,0
4967844,0,0
4967854,0,0
4967864,0,0
4967874,0,0
4967884,0,0
4967894,0,0
4967904,0,0
4967914,0,0
4967924,0,0
4967934,0,0
4967944,0,0
4967954,0,0
4967964,0,0
4967974,0,0
4967984,0,0
4967994,0,0
4968004,0,0
4968014,0,0
4968024,0,0
4968034,0,0
4968044,0,0
4968054,0,0
4968064,0,0
4968074,0,0
4968084,0,0
4968094,0,0
4968104,0,0
4968114,0,0
4968124,0,0
4968134,0,0
4968144,0,0
4968154,0,0
4968164,0,0
4968174,0,0
4968184,0,0
4968194,0,0
4968204,0,0
4968214,0,0
4968224,0,0
4968234,0,0
4968244,0,0
4968254,0,0
4968264,0,0
4968274,0,0
4968284,0,0
4968294,0,0
4968304,0,0
4968314,0,0
4968324,0,0
4968334,0,0
4968344,0,0
4968354,0,0
4968364,0,0
4968374,0,0
4968384,0,0
4968394,0,0
4968404,0,0
4968414,0,0
4968424,0,0
4968434,0,0
4968444,0,0
4968454,0,0
4968464,0,0
4968474,0,0
4968484,0,0
4968494,0,0
4968504,0,0
4968514,0,0
4968524,0,0
4968534,0,0
4968544,0,0
4968554,0,0
4968564,0,0
4968574,3727,0
4968584,3607,0
4968594,3823,0
4968604,3930,0
4968614,3941,0
4968624,3956,0
4968634,3946,0
4968644,3895,0
4968654,3808,0
4968664,3559,0
