start_time,end_time,total_time,foot
1023335,1025304,1969,Left
1025334,1025974,640,Right
1026004,1027204,1200,Left
1027234,1027264,30,Right
1027294,1027664,370,Left
1027694,1027814,120,Right
1027844,1028244,400,Left
1028274,1028384,110,Right
1028414,1028824,410,Left
1028854,1028974,120,Right
1029004,1029334,330,Left
1029364,1029554,190,Right
1029584,1029914,330,Left
1029944,1030144,200,Right
1030174,1030584,410,Left
1030614,1030734,120,Right
1030764,1031104,340,Left
1031134,1031324,190,Right
1031354,1031684,330,Left
1031714,1031914,200,Right
1031944,1032284,340,Left
1032314,1032504,190,Right
1032534,1032854,320,Left
1032884,1033094,210,Right
1033124,1033444,320,Left
1033474,1033674,200,Right
1033704,1034014,310,Left
1034044,1034254,210,Right
1034284,1034594,310,Left
1034624,1034854,230,Right
1034884,1035204,320,Left
1035234,1035434,200,Right
1035464,1035784,320,Left
1035814,1036024,210,Right
1036054,1036374,320,Left
1036404,1036614,210,Right
1036644,1036974,330,Left
1037004,1037214,210,Right
1037244,1037564,320,Left
1037594,1037834,240,Right
1037864,1038134,270,Left
1038164,1038384,220,Right
1038414,1038724,310,Left
1038754,1038964,210,Right
1038994,1039324,330,Left
1039354,1039554,200,Right
1039584,1039914,330,Left
1039944,1040154,210,Right
1040184,1040524,340,Left
1040554,1040754,200,Right
1040784,1041594,810,Left
1041624,1042454,830,Right
1042484,1042584,100,Left
1042614,1045234,2620,Right
