stride_num,foot,ic_time,to_time,next_ic_time,gct_ms,flight_ms,step_time_ms
1,right,0,2300,2370,2300,70,2370
1,left,2330,2340,2560,10,220,230
2,right,2370,2530,2690,160,160,320
2,left,2560,2660,3250,100,590,690
3,right,2690,3220,8110,530,4890,5420
3,left,3250,8080,9240,4830,1160,5990
4,right,8110,9210,10040,1100,830,1930
4,left,9240,10010,10350,770,340,1110
5,right,10040,10320,10490,280,170,450
5,left,10350,10460,10850,110,390,500
6,right,10490,10820,11000,330,180,510
6,left,10850,10970,11290,120,320,440
7,right,11000,11260,11540,260,280,540
7,left,11290,11510,11790,220,280,500
8,right,11540,11760,12070,220,310,530
8,left,11790,12040,12310,250,270,520
9,right,12070,12280,12590,210,310,520
9,left,12310,12560,12810,250,250,500
10,right,12590,12780,13120,190,340,530
10,left,12810,13090,13370,280,280,560
11,right,13120,13340,13650,220,310,530
11,left,13370,13620,13900,250,280,530
12,right,13650,13870,14180,220,310,530
12,left,13900,14150,14410,250,260,510
13,right,14180,14380,14700,200,320,520
13,left,14410,14670,14930,260,260,520
14,right,14700,14900,15220,200,320,520
14,left,14930,15190,15450,260,260,520
15,right,15220,15420,15800,200,380,580
15,left,15450,15770,15970,320,200,520
16,right,15800,15940,16330,140,390,530
16,left,15970,16300,16520,330,220,550
17,right,16330,16490,16850,160,360,520
17,left,16520,16820,17070,300,250,550
18,right,16850,17040,17370,190,330,520
18,left,17070,17340,17580,270,240,510
19,right,17370,17550,17910,180,360,540
19,left,17580,17880,18110,300,230,530
20,right,17910,18080,18430,170,350,520
20,left,18110,18400,18620,290,220,510
21,right,18430,18590,18970,160,380,540
21,left,18620,18940,19350,320,410,730
22,right,18970,19150,19180,180,30,210
