timestamp_ms,timestamp_iso,sensor_id,value
1773367816918,2026-03-13T02:10:16.918Z,L01,0
1773367816918,2026-03-13T02:10:16.918Z,L02,322
1773367816918,2026-03-13T02:10:16.918Z,L03,322
1773367816918,2026-03-13T02:10:16.918Z,L04,0
1773367816918,2026-03-13T02:10:16.918Z,L05,0
1773367816918,2026-03-13T02:10:16.918Z,L06,0
1773367816918,2026-03-13T02:10:16.918Z,L07,255
1773367816918,2026-03-13T02:10:16.918Z,L08,0
1773367816918,2026-03-13T02:10:16.918Z,L09,0
1773367816918,2026-03-13T02:10:16.918Z,L10,0
1773367816918,2026-03-13T02:10:16.918Z,L11,25
1773367816918,2026-03-13T02:10:16.918Z,L12,0
1773367816918,2026-03-13T02:10:16.918Z,L13,50
1773367816918,2026-03-13T02:10:16.918Z,L14,0
1773367816918,2026-03-13T02:10:16.918Z,L15,0
1773367816918,2026-03-13T02:10:16.918Z,L16,0
1773367816918,2026-03-13T02:10:16.918Z,R01,0
1773367816918,2026-03-13T02:10:16.918Z,R02,0
1773367816918,2026-03-13T02:10:16.918Z,R03,0
1773367816918,2026-03-13T02:10:16.918Z,R04,0
1773367816918,2026-03-13T02:10:16.918Z,R05,0
1773367816918,2026-03-13T02:10:16.918Z,R06,0
1773367816918,2026-03-13T02:10:16.918Z,R07,222
1773367816918,2026-03-13T02:10:16.918Z,R08,116
1773367816918,2026-03-13T02:10:16.918Z,R09,0
1773367816918,2026-03-13T02:10:16.918Z,R10,0
1773367816918,2026-03-13T02:10:16.918Z,R11,54
1773367816918,2026-03-13T02:10:16.918Z,R12,371
1773367816918,2026-03-13T02:10:16.918Z,R13,483
1773367816918,2026-03-13T02:10:16.918Z,R14,0
1773367816918,2026-03-13T02:10:16.918Z,R15,0
1773367816918,2026-03-13T02:10:16.918Z,R16,0
1773367817040,2026-03-13T02:10:17.040Z,L01,0
1773367817040,2026-03-13T02:10:17.040Z,L02,194
1773367817040,2026-03-13T02:10:17.040Z,L03,440
1773367817040,2026-03-13T02:10:17.040Z,L04,0
1773367817040,2026-03-13T02:10:17.040Z,L05,0
1773367817040,2026-03-13T02:10:17.040Z,L06,0
1773367817040,2026-03-13T02:10:17.040Z,L07,424
1773367817040,2026-03-13T02:10:17.040Z,L08,0
1773367817040,2026-03-13T02:10:17.040Z,L09,0
1773367817040,2026-03-13T02:10:17.040Z,L10,0
1773367817040,2026-03-13T02:10:17.040Z,L11,0
1773367817040,2026-03-13T02:10:17.040Z,L12,0
1773367817040,2026-03-13T02:10:17.040Z,L13,225
1773367817040,2026-03-13T02:10:17.040Z,L14,0
1773367817040,2026-03-13T02:10:17.040Z,L15,0
1773367817040,2026-03-13T02:10:17.040Z,L16,0
1773367817040,2026-03-13T02:10:17.040Z,R01,0
1773367817040,2026-03-13T02:10:17.040Z,R02,0
1773367817040,2026-03-13T02:10:17.040Z,R03,0
1773367817040,2026-03-13T02:10:17.040Z,R04,0
1773367817040,2026-03-13T02:10:17.040Z,R05,0
1773367817040,2026-03-13T02:10:17.040Z,R06,0
1773367817040,2026-03-13T02:10:17.040Z,R07,59
1773367817040,2026-03-13T02:10:17.040Z,R08,182
1773367817040,2026-03-13T02:10:17.040Z,R09,0
1773367817040,2026-03-13T02:10:17.040Z,R10,0
1773367817040,2026-03-13T02:10:17.040Z,R11,19
1773367817040,2026-03-13T02:10:17.040Z,R12,274
1773367817040,2026-03-13T02:10:17.040Z,R13,432
1773367817040,2026-03-13T02:10:17.040Z,R14,0
1773367817040,2026-03-13T02:10:17.040Z,R15,0
1773367817040,2026-03-13T02:10:17.040Z,R16,0
1773367817161,2026-03-13T02:10:17.161Z,L01,0
1773367817161,2026-03-13T02:10:17.161Z,L02,209
1773367817161,2026-03-13T02:10:17.161Z,L03,322
1773367817161,2026-03-13T02:10:17.161Z,L04,0
1773367817161,2026-03-13T02:10:17.161Z,L05,0
1773367817161,2026-03-13T02:10:17.161Z,L06,0
1773367817161,2026-03-13T02:10:17.161Z,L07,71
1773367817161,2026-03-13T02:10:17.161Z,L08,455
1773367817161,2026-03-13T02:10:17.161Z,L09,0
1773367817161,2026-03-13T02:10:17.161Z,L10,0
1773367817161,2026-03-13T02:10:17.161Z,L11,0
1773367817161,2026-03-13T02:10:17.161Z,L12,0
1773367817161,2026-03-13T02:10:17.161Z,L13,261
1773367817161,2026-03-13T02:10:17.161Z,L14,0
